시설ID,시설명,서비스분류코드,서비스분류,자치구코드,자치구명,연령구분코드,연령구분,X좌표값,Y좌표값,우편번호,기본주소,상세주소,사이트유무,사이트URL,사용료무료여부,사용료,평일시작시간,평일종료시간,사용시간구분코드,사용시간구분,시작시간1,종료시간1,시작시간2,종료시간2,시작시간3,종료시간3,토요일운영여부,토요일운영시작시간,토요일운영종료시간,등록일시,수정일시
SB191102,성북구 행복 나눔터 2호점(초등돌봄),1004,공동육아나눔터,11290,성북구,1003,초등학생,127.02308,37.60113,2807,서울특별시 성북구 동소문로 34길 73 금호어울림아파트,휘트니스 2층 ,N,,Y,,1500,1800,N,시간제운영,,,,,,,N,,,51:38.0,55:48.0
SB191103,성북구 공동육아 행복나눔터,1004,공동육아나눔터,11290,성북구,1001,영유아,127.013023,37.60661749,2718,서울특별시 성북구 정릉로27길 61-6,성북온가족행복지원센터 4층 (정릉동),N,,Y,,1000,1730,N,시간제운영,,,,,,,Y,930,1330,51:38.0,02:12.0
NW191101,노원구 공동육아나눔터,1004,공동육아나눔터,11350,노원구,1001,영유아,127.0738273,37.62209701,1856,서울특별시 노원구 동일로173가길 87,1층 (공릉동),N,,Y,,1000,1800,,,1000,1800,,,,,N,,,51:38.0,59:18.0
GR191104,구로구 공동육아나눔터 2,1004,공동육아나눔터,11530,구로구,1001,영유아,126.84665,37.49559,8272,서울특별시 구로구 경인로20가길 68 (오류동),행복주택 단지 내 1층,Y,https://gurofc.familynet.or.kr,Y,,1000,1800,Y,종일운영,1000,1800,,,,,Y,1000,1500,51:38.0,48:49.0
GR191103,구로구 공동육아나눔터 1,1004,공동육아나눔터,11530,구로구,1001,영유아,126.88975,37.48256,8383,서울특별시 구로구 우마2길 35 (가리봉동),3층,Y,https://gurofc.familynet.or.kr,Y,,1000,1800,Y,종일운영,1000,1800,,,,,N,,,51:38.0,42:54.0
GS191103,강서구 공동육아나눔터,1004,공동육아나눔터,11500,강서구,1001,영유아,126.8489,37.52905,7781,서울시 강서구 강서로 5길 50 곰달래문화센터,4층,N,,Y,,900,1800,,,900,1800,,,,,N,,,51:38.0,47:37.0
GN191102,강남구공동육아나눔터 신한 꿈도담터 ,1004,공동육아나눔터,11680,강남구,1001,영유아,127.07776,37.49405,6336,서울특별시 강남구 개포로 617-8,강남구건강가정지원센터 1층 신한 꿈도담터 (개포동),N,,Y,,900,1800,Y,종일운영,900,1800,,,,,N,,,51:38.0,41:41.0
SC191102,서초구 공동육아나눔터 '키움',1004,공동육아나눔터,11650,서초구,1001,영유아,127.00921,37.50501,6545,서울시 서초구 사평대로 205 파미에스테이션 2층,서초구열린육아나눔터 '키움',N,,N,,1000,1700,,,930,1730,,,,,Y,1300,1500,51:38.0,37:43.0
GA191103,관악구 공동육아나눔터(제 2센터),1004,공동육아나눔터,11620,관악구,1001,영유아,126.9584,37.47631,8790,서울시 관악구 낙성대로 4가길 5 4F (낙성대동주민센터),관악구건강가정지원센터 ,N,,N,,900,1800,Y,종일운영,900,1800,,,,,N,,,51:38.0,41:14.0
GD191102,강동구 공동육아나눔터,1004,공동육아나눔터,11740,강동구,1001,영유아,127.14626,37.54979,5292,서울시 강동구 양재대로 138길 41,2층 강동구건강가정?다문화가족지원센터,N,,Y,,900,1800,Y,종일운영,900,1800,,,,,N,,,51:38.0,36:12.0
