시설명,자치구명,연령구분,x좌표값,y좌표값,기본주소,상세주소,사이트유무,사이트 URL,사용료무료여부,사용료
햇살아래열린육아방,중랑구,영유아,127.11283,37.61475,서울특별시 중랑구 신내역로 131,햇살아래어린이집 2층,Y,https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065,Y,0
장위행복누림부모지원센터,성북구,영유아,127.04584528255997,37.615906003765375,서울특별시 성북구 장위로21다길 53,장위행복누림복합센터 1층,Y,https://sbhappy.sb.go.kr,N,
면목열린육아방,중랑구,영유아,127.07949,37.58321,서울특별시 중랑구 동일로 591,장난감도서관 2층,Y,https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065,Y,0
아이사랑열린육아방,중랑구,영유아,127.09424,37.5971,서울특별시 중랑구 망우로60길 37,효성써너스빌 에코 2층,Y,https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065,Y,0
상봉키움열린육아방,중랑구,영유아,127.09212,37.6022,서울특별시 중랑구 신내로7가길 71,경로당 2층,Y,https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065,Y,0
중화열린육아방,중랑구,영유아,127.07492,37.59504,서울특별시 중랑구 중랑역로3길 28,장난감도서관 2층,Y,https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065,Y,0
아이틔움열린육아방,중랑구,영유아,127.10151,37.60058,서울특별시 중랑구 망우로67길 10,망우본동복합청사 6층,Y,https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065,Y,0
장미향기열린육아방,중랑구,영유아,127.07356,37.60724,서울특별시 중랑구 중랑천로 252-1,경로당 2층,Y,https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065,Y,0
먹골꼬마열린육아방,중랑구,영유아,127.08361,37.61757,서울특별시 중랑구 공릉로12가길 70-15,경로당 2층,Y,https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065,Y,0
꿈자람공동육아방 배봉산점,동대문구,영유아,127.06279,37.5784,서울특별시 동대문구 전농로 16길 97,배봉산숲속도서관 1층 꿈자람공동육아방 배봉산점 ,Y,https://www.ddmccic.or.kr/new/raise/association3.html,Y,0
도란도란열린육아방,중랑구,영유아,127.08536977276893,37.598302100936934,서울특별시 중랑구 봉화산로30길 89,"1층 (상봉동, 시온빌라트)",Y,https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065,Y,0
꿈자람공동육아방 답십리점,동대문구,영유아,127.04795,37.57206,서울특별시 동대문구 황물로 62 ,동대문구육아종합지원센터 2층 ,Y,https://www.ddmccic.or.kr/new/raise/association1.html,Y,0
키즈앤맘 열린육아방,중구,영유아,127.01484,37.56129,서울특별시 중구 다산로32길 5 ,3층 중구육아종합지원센터,Y,http://www.jgkids.or.kr/index.php?MenuID=72,N,1000
